Enlace;ID;Sitio;ultima IP;IP;Mask;
;390803;Acajutla;172.16.3.254;172.16.3.13;255.255.255.0;
Guazapa  > Aguilares;#N/D;Guazapa ;172.17.16.42;172.17.16.41;255.255.255.252;
;#N/D; Aguilares;172.17.17.254;172.17.17.34;255.255.255.0;
Ciudad Corinto 2 > Apopa;391692;Ciudad Corinto 2;172.17.0.106;172.17.0.105;255.255.255.252;
;391569;Apopa;172.16.1.254;172.16.1.13;255.255.255.0;
San Sebastian arriba > El Pedregal;390246;San Sebastian arriba;172.17.0.118;172.17.0.117;255.255.255.252;
;390202;El Pedregal;172.16.1.254;172.16.1.17;255.255.255.0;
Amayo > Chalatenango;391039;Amayo;172.17.16.46;172.17.16.45;255.255.255.252;
;391003;Chalatenango;172.17.17.254;172.17.17.2;255.255.255.0;
El Coyolito 2 > Aguilares;#N/D;El Coyolito 2 ;172.17.16.50;172.17.16.49;255.255.255.252;
;391572;Aguilares;172.17.17.254;172.17.17.35;255.255.255.0;
Hotel Estero y Mar > Aeropuerto;#N/D;Hotel Estero y Mar ;172.17.0.110;172.17.0.109;255.255.255.252;
;#N/D; Aeropuerto;172.16.1.254;172.16.1.14;255.255.255.0;
San Ignacio > La Palma;391046;San Ignacio;172.17.4.22;172.17.4.21;255.255.255.252;
;391002;La Palma;172.17.5.78;172.17.5.74;255.255.255.248;
Santo Domingo de Guzman > Apaneca;390840;Santo Domingo de Guzman;172.17.8.58;172.17.8.57;255.255.255.252;
;#N/D;Apaneca;172.17.9.62;172.17.9.2;255.255.255.192;
San Jos Las Flores CHA > Los Ranchos;#N/D;San Jos Las Flores CHA;172.17.16.54;172.17.16.53;255.255.255.252;
;391021;San antonio los ranchos;172.17.18.94;172.17.18.66;255.255.255.224;
San Emigdio > Cojutepeque;#N/D;San Emigdio ;172.17.16.58;172.17.16.57;255.255.255.252;
;390302;Cojutepeque;172.16.5.254;172.16.5.11;255.255.255.0;
Ahuchap n By Pass  > Ahuachap n;#N/D;Ahuchap n By Pass;172.17.8.66;172.17.8.65;255.255.255.252;
;#N/D; Ahuachap n;172.16.3.254;172.16.3.14;255.255.255.0;
El Mirador > Aeropuerto;#N/D;El Mirador ;172.17.0.114;172.17.0.113;255.255.255.252;
;390204;Aeropuerto;172.16.1.254;172.16.1.15;255.255.255.0;
Guaymango > Apaneca;390938;Guaymango;172.17.8.62;172.17.8.61;255.255.255.252;
;#N/D;Apaneca;172.17.9.62;172.17.9.3;255.255.255.192;
Las Pavas > Cerro Pacho;390468;Las Pavas;172.17.4.26;172.17.4.25;255.255.255.252;
;391043;Cerro Pacho;172.16.2.254;172.16.2.5;255.255.255.0;
Sociedad > Torrecillas;391314;Sociedad;172.17.53.238;172.17.53.233;255.255.255.248;
;#N/D;Torrecillas;172.17.53.30;172.17.53.5;255.255.255.224;
Tacachico 2 > Tacachico;390477;Tacachico 2;172.17.4.30;172.17.4.29;255.255.255.252;
;390416;Tacachico;172.17.5.30;172.17.5.27;255.255.255.248;
Cerro La Cruz > Candelaria de la Frontera;390726;Cerro La Cruz;172.17.5.118;172.17.5.113;255.255.255.248;
;390707;Candelaria de la Frontera;172.17.5.94;172.17.5.82;255.255.255.240;
Joya Redonda > Pasaquina;391427;Joya Redonda;172.17.36.50;172.17.36.49;255.255.255.252;
;391404;Pasaquina;172.17.37.30;172.17.37.19;255.255.255.240;
Candelaria de la Frontera > El Faro;390707;Candelaria de la Frontera;172.17.5.94;172.17.5.81;255.255.255.240;
;390703;El Faro;172.16.2.254;172.16.2.11;255.255.255.0;
La Palma > Miramundo;391002;La Palma;172.17.5.78;172.17.5.73;255.255.255.248;
;391026;Miramundo;172.16.2.254;172.16.2.12;255.255.255.0;
Agua Caliente >  Miramundo;#N/D;Agua Caliente;172.17.4.34;172.17.4.33;255.255.255.252;
;391026;Miramundo;172.16.2.254;172.16.2.13;255.255.255.0;
Chiltiupan > Carretera a La Libertad 2;#N/D;Chiltiupan ;172.17.1.78;172.17.1.73;255.255.255.248;
;#N/D;Carretera a La Libertad 2;172.16.1.254;172.16.1.16;255.255.255.0;
Zacatecoluca 12 > Zacatecoluca;390249;Zacatecoluca 12;172.17.28.18;172.17.28.17;255.255.255.252;
;390201;Zacatecoluca;172.16.8.254;172.16.8.4;255.255.255.0;
El Zonte > Chiltiup n;#N/D;El Zonte ;172.17.0.94;172.17.0.93;255.255.255.252;
;#N/D;Chiltiup n;172.17.1.78;172.17.1.74;255.255.255.248;
Conchagua Pueblo  > Cerro Conchagua;#N/D;Conchagua Pueblo;172.17.36.54;172.17.36.53;255.255.255.252;
;#N/D; Cerro Conchagua;172.16.10.254;172.16.10.12;255.255.255.0;
Tierra Blanca Chirilagua > Cerro Conchagua;390658;Tierra Blanca Chirilagua;172.17.36.58;172.17.36.57;255.255.255.252;
;391458;Cerro Conchagua;172.16.10.254;172.16.10.13;255.255.255.0;
SAN GERARDOÿ> Victoria 2;390654;SAN GERARDO;172.17.16.62;172.17.16.61;255.255.255.252;
;390513;Victoria 2;172.17.18.46;172.17.18.42;255.255.255.248;
Lolotiquillo > Delicias de Concepci¢n;#N/D;Lolotiquillo ;172.17.52.98;172.17.52.97;255.255.255.252;
;#N/D;Delicias de Concepci¢n;172.17.53.230;172.17.53.225;255.255.255.248;
Delicias de Concepci¢n > San Fracisco Gotera;#N/D;Delicias de Concepci¢n;172.17.53.230;172.17.53.226;255.255.255.248;
;391301;San Francisco Gotera;172.17.53.62;172.17.53.39;255.255.255.224;
Concepcion de Oriente > Cerro Conchagua;391416;Concepcion de Oriente;172.17.37.54;172.17.37.49;255.255.255.248;
;391458;Cerro Conchagua;172.16.10.254;172.16.10.14;255.255.255.0;
CUYULTITAN > Aeropuerto;390216;CUYULTITAN;172.17.1.86;172.17.1.81;255.255.255.248;
;390204;Aeropuerto;172.16.1.254;172.16.1.18;255.255.255.0;
Cara Sucia > Garita Palmera;390909;Cara Sucia;172.17.8.70;172.17.8.69;255.255.255.252;
;#N/D; Garita Palmera;172.17.9.94;172.17.9.67;255.255.255.224;
ARCATAO > Nueva Trinidad;391048;ARCATAO;172.17.16.66;172.17.16.65;255.255.255.252;
;391019;Nueva Trinidad;172.17.18.99;172.17.18.98;255.255.255.248;
